ID,FIRSTNAME,LASTNAME,EMAIL,PROMOTIONPROGRAM,PAYMENTMETHOD
0e97d55e-7d56-4b63-b4ef-5425cea9aea6,Ash,Chadder,ash.ch@noemail.com,frequent-1,card-visa
63d0d36e-6043-47f6-a4f5-19df2606a17d,Natali,Leopold,natali.leo@nomail.com,frequent-2,card-visa
5d2ae43b-dc40-41f7-8a85-76e49e94ba16,Rima,Bhat,rima.bhat@nomail.com,frequent-3,card-visa
d5d2ec4e-0ca9-4fe1-bae5-f6a974f684e6,Yalina,Zuricov,yzuricov@nomail.com,frequent-1,card-visa
4932e113-dfb4-460f-add9-95e185fde115,Hector,Torres,hector@nomail.com,frequent-2,card-master
02bc82d5-26b0-4f9a-95c5-67f03c4c4d0b,Melica,Rodd,melica.rodd@nomail.com,frequent-1,card-amex
2d13163f-86e5-4874-939f-e6d03234e3e0,Monica,Chapman,monika@nomail.com,frequent-1,card-visa
f59209a0-3f64-444e-9dea-5a0c098b3a24,Sabby,Martin,sabby.martin@nomail.com,frequent-3,card-visa
88abb55c-6830-4d14-a9b2-479dacb3bf67,Yuri,Gaggarin,yuri.gaggarin@nomail.com,frequent-2,card-amex
c5f75eed-2c57-4dc6-806d-652f801b4713,Natasha,Ray,natasha.ray@nomail.com,frequent-1,card-visa
b3ce0ef1-ccc9-436f-b67d-8134ec2f011d,Teem,Lee,teem.b.lee@nomail.com,frequent-1,card-visa
27b81a9c-de30-4f9a-8b6a-95eba01b4317,Puja,Saxena,puja.saxena@nomail.com,frequent-1,card-master
11605ca6-3326-4b3f-9722-89ea1bf770a7,Paul,Neuman,neuman.p@nomail.com,frequent-1,card-visa
4e4e2690-560f-4ce9-98e4-eea1dfdf11cf,Hamirai,Krjai,hamirai.karjai@nomail.com,frequent-1,card-master
d19a7059-d22d-478b-8bf6-ecfc728e8ede,Michael,Love,michaellove@nomail.com,frequent-1,card-visa
df18e591-f087-4366-81e7-01beec8142a3,Nari,Hench,nari.hench@nomail.com,frequent-1,card-master
ffc27506-c57a-4073-bf8a-1d2c0a0584c5,Adobe,Russo,adobe.russo@nomail.com,frequent-1,card-visa
e488ef60-bc20-452b-b8aa-bdd8c2934edb,Nirobi,Bukazua,nirobi.buka@nomail.com,frequent-1,card-visa
36a00731-7f07-42a8-a141-f4303d41a10b,Harish,Krishnan,harish.k@nomail.com,frequent-1,card-visa
c78b9ea5-89af-4173-af65-efa75368bc4d,James,Hestings,james.hestings@nomail.com,frequent-1,card-visa
